downloads,python_version,distro_name,distro_version
51,2.7,macOS,10.11.5
51,3.7,RedHatEnterpriseServer,6.7
50,2.7,macOS,10.12.1
50,3.5,Alpine Linux,3.10.1
50,3.7,Parrot GNU/Linux,4.6
49,2.7,Fedora,20
49,3.6,macOS,10.11.5
48,3.6,RedHatEnterpriseServer,6.8
48,3.4,macOS,10.14.5
48,3.6,Fedora,31
47,3.7,Debian GNU/Linux,9.9
47,3.4,CentOS Linux,7.6.1810
47,3.6,Ubuntu,15.10
47,3.6,Exherbo,
47,3.7,macOS,10.11.5
47,3.7,Mageia,7
47,3.5,Debian GNU/Linux,
46,3.6,Raspbian GNU/Linux,9
46,3.4,macOS,10.14.3
46,2.7,macOS,10.12
46,3.7,NixOS,19.03.173068.9ec7625cee5
46,2.7,debian,9.8
46,3.6,Fedora,17
46,2.7,DGX OS,18.04
46,3.5,RedHatEnterpriseServer,6.10
46,3.6,Debian GNU/Linux,oldstable-updates
46,3.6,macOS,10.12
45,3.5,macOS,10.11.5
45,2.7,Red Hat Enterprise Linux Workstation,7.3
45,2.7,Scientific,6.10
45,3.5,Alibaba Group Enterprise Linux Server,7.2
44,2.7,SLES,12.2
44,3.4,CentOS,6.9
44,3.4,Alpine Linux,3.10.0
44,3.6,Gentoo,2019071601
44,3.5,Oracle Linux Server,7.6
44,2.7,Parrot GNU/Linux,4.6
44,3.8,Alpine Linux,3.9.3
44,2.7,macOS,10.11.2
44,3.6,CentOS,6.4
44,3.5,CentOS Linux,7.3.1611
43,2.7,RedHatEnterpriseServer,6.7
43,3.7,openSUSE Leap,42.3
42,3.5,CentOS Linux,7.2.1511
42,2.7,Nest,6.9
42,3.7,Manjaro Linux,18.0.2
42,3.7,Ubuntu,10.04
42,3.5,openSUSE Leap,42.3
42,3.7,openSUSE Tumbleweed,20190724
42,3.6,Kali GNU/Linux,2018.1
42,2.7,Kali GNU/Linux,2018.1
41,3.7,VMware Photon OS,3.0
41,3.6,Peppermint,10
41,2.7,Scientific Linux,7.4
41,3.6,RedHatEnterpriseServer,6.4
40,3.7,PureOS,8
40,3.6,ScientificCERNSLC,6.9
40,3.5,CentOS Linux,7.5.1804
39,3.6,macOS,10.9.5
39,3.7,Fedora,26
39,3.5,Debian GNU/Linux,oldstable-updates
39,3.5,OS X,10.14.6
38,2.7,RedHatEnterpriseServer,6.5
38,2.7,SLES,15
38,3.5,Debian GNU/Linux,testing
38,3.6,Springdale Linux,7.6
38,2.7,Debian GNU/Linux,unstable
38,3.6,Ubuntu,16.10
37,3.6,EulerOS,2.0
37,3.5,Raspbian GNU/Linux,10
37,3.7,BunsenLabs GNU/Linux,9.8
37,3.6,Ubuntu Kylin,18.04
36,3.7,Scientific Linux,7.4
36,3.4,Red Hat Enterprise Linux Server,7.5
36,3.7,Debian GNU/Linux,10.0
36,2.7,OS X,10.13.6
36,3.6,CentOS,6.2
35,3.4,CentOS Linux,7.5.1804
35,3.6,Fedora,24
35,3.7,macOS,10.11.1
35,2.7,Alpine Linux,3.8.4
35,3.7,macOS,10.11.3
35,3.6,LinuxMint,18.3
35,3.6,openSUSE Tumbleweed,20190219
34,3.7,Debian GNU/Linux,oldstable-updates
34,3.5,macOS,10.10.5
34,2.7,macOS,10.11
34,3.7,Alpine Linux,3.7.1
34,2.7,Fedora,19
34,3.7,Manjaro Linux,18.1.0-rc1
34,3.6,VMware Photon OS,2.0
